baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Oarb_100990_c1_g1	8.68672000239784	1.20981558686768	0.547240135597517	2.21075814467942	0.0270525896883924	0.179076678462013
Oarb_100990_c1_g2	0.832860154653766	0.165490900689931	1.53894442702417	0.107535332520056	0.91436429652733	NA
Oarb_100998_c0_g1	5.99058509668966	-0.38580570991644	0.99152585732117	-0.3891030244625	0.697199936242268	0.887063162327168
Oarb_100998_c1_g1	2.9336333951041	-0.936477571157306	0.917031355428651	-1.02120561703102	0.307157031667608	NA
Oarb_101066_c0_g1	0.866426036581327	-1.47223514235028	1.5915606391801	-0.925026107147705	0.354952327513199	NA
Oarb_101069_c1_g1	0.300963819525843	-0.624679688766535	2.80590860582186	-0.222630091183445	0.823823414767761	NA
Oarb_101077_c0_g1	0.664422483508005	-0.0898814827349134	1.71071819929	-0.052540203741456	0.95809826160254	NA
Oarb_101085_c1_g2	2.8720920469593	-0.680439536672255	0.928021357760955	-0.73321538451869	0.463427073539638	NA
Oarb_101110_c0_g1	12.2625751013192	-2.87458401472481	0.648675728187306	-4.43146535289319	9.3594853568369e-06	0.000739737637841567
Oarb_101111_c0_g2	0.996526661834316	2.40296593467714	1.40388097987075	1.71165929956424	0.0869594732845082	NA
Oarb_101117_c2_g1	3.2252940277758	-0.381629262300875	0.707913396337191	-0.539090324149056	0.58982453167165	NA
Oarb_101119_c0_g1	0.734297497150675	-1.4646391136493	1.6310044886602	-0.897998211428855	0.369186503002984	NA
Oarb_101124_c0_g1	2.36490776308247	-0.199562224577838	1.00689136703414	-0.198196380574461	0.84289141920128	NA
Oarb_101132_c1_g1	1.30890031455223	1.42994572979075	1.19026122951421	1.20137134129317	0.229607187876529	NA
Oarb_101141_c0_g1	7.0967223761922	-0.508102680125801	0.673075668354389	-0.754896817720461	0.450310895346885	0.741103731428892
Oarb_101155_c1_g1	0.55959206316328	0.432273247841029	1.98105559300078	0.218203491799161	0.827270564570684	NA
Oarb_101155_c2_g1	2.85177925272729	-0.409141844716002	0.980531020291718	-0.417265579822531	0.676484161945692	NA
Oarb_101157_c0_g2	0.962276977760103	0.337608032641622	1.28699454437875	0.262322815676417	0.793072573391339	NA
Oarb_101161_c1_g1	0.533416327150446	-1.0611145452404	1.66354289162397	-0.63786425380624	0.523562048703498	NA
Oarb_101171_c0_g1	1.39560907153054	2.6885322195482	1.37115020548574	1.96078606763273	0.0499039839771822	NA
Oarb_101185_c0_g1	0.339828605818887	2.07248321145229	2.36907665197397	0.874806313136998	0.381679301593547	NA
Oarb_101196_c0_g1	0.982119804768678	0.394861794227078	1.2330810306167	0.320223719628218	0.748798743488451	NA
Oarb_101202_c0_g1	2.35734168996757	-2.21654354911785	1.22855792836376	-1.8041831792742	0.0712025953660412	NA
Oarb_101222_c0_g1	1.29269820066928	-2.50844940294854	1.32376687827341	-1.89493289499758	0.0581012924820647	NA
Oarb_101223_c0_g1	2.12877009710202	-0.801171651247838	0.943887387402626	-0.848800039009408	0.395992568470905	NA
Oarb_101227_c2_g1	1.01873252716915	0.331103630881203	1.4909375250658	0.222077468247096	0.824253577657995	NA
Oarb_101227_c3_g1	7.78479329533526	1.32005795371292	0.753736195525313	1.75135274324051	0.0798851677512733	0.331885180777931
Oarb_101228_c1_g1	0.656158882106404	-2.42843090703711	4.00010954331165	-0.607091101066856	0.543790455524742	NA
Oarb_101228_c1_g2	5.63152886764961	-0.0105587259928535	0.89441684720936	-0.0118051510610488	0.990581071003774	0.996492006631885
Oarb_101248_c1_g1	1.6953186907798	0.117234331957929	1.27425685529668	0.0920021198792251	0.92669635531712	NA
Oarb_101268_c0_g1	2.30152730945013	-0.157395169280282	1.08708552867751	-0.144786371567066	0.884879542750865	NA
Oarb_101279_c4_g1	1.72773322271421	0.0545840869406427	1.24273102196009	0.0439226879961122	0.964966030344715	NA
Oarb_101296_c0_g1	0.348941074429533	0.875842060013628	2.18885965688899	0.40013623406923	0.68905617763403	NA
Oarb_101298_c0_g1	2.47899692360612	0.911770925036967	1.07915285891137	0.844895065150219	0.398169429988148	NA
Oarb_101302_c0_g1	13.0861741594657	-0.416985352300828	0.704575461898865	-0.591824970993217	0.553967799914013	0.808460237471841
Oarb_101306_c0_g1	0.751219684491049	2.27943818916127	1.48324315429951	1.536793331932	0.124343926850552	NA
Oarb_101307_c0_g2	3.53646641527443	0.00280641631877395	0.848923777143051	0.00330585194376179	0.997362316578163	NA
Oarb_101334_c2_g1	6.0867134306946	0.32967803035149	0.567765616507547	0.580658674576691	0.561470518950933	0.812500762657146
Oarb_101373_c0_g1	1.45437314452582	-1.75196228380688	1.26868131421811	-1.38093173137544	0.167299952326154	NA
Oarb_101388_c0_g1	0.615657328478907	0.534406794266635	1.822479266601	0.293230657851776	0.76934585191977	NA
Oarb_101388_c0_g2	11.1925944602854	0.0582851890062849	0.591662602961988	0.0985108551977039	0.921526652685285	0.970028055458195
Oarb_101424_c0_g1	9.74403550499519	-0.618856847961883	0.501831354584734	-1.23319685449704	0.217502328658998	0.547869641297708
Oarb_101426_c0_g1	0.766260458690063	-0.19355997042185	1.53421635831318	-0.126162108344786	0.899603604807379	NA
Oarb_101433_c2_g2	0.510925853262389	1.51754502790352	1.77521298157431	0.854852371887073	0.392632880567588	NA
Oarb_101440_c0_g2	2.35886834144246	0.514776518074672	1.19144245324761	0.432061587759866	0.665696651752012	NA
Oarb_101442_c3_g1	0.545598877730028	1.21623737393144	1.9562443262818	0.621720588574497	0.53412561116318	NA
Oarb_101442_c3_g3	1.99356814089262	-1.18987518545557	1.01414004449301	-1.17328488497899	0.240681581563721	NA
Oarb_101447_c0_g1	1.66589860618699	0.195598980756175	0.949099010490382	0.206089120939144	0.836721296603213	NA
Oarb_101476_c0_g1	0.671480426875974	-0.576163235460237	1.59040811244381	-0.362273828303673	0.717147413765599	NA
Oarb_101513_c2_g1	1.14173824263271	1.17537482087632	1.23940530410056	0.948337736644831	0.3429575455937	NA
Oarb_101571_c1_g1	0.572778054345262	0.0465869351768762	1.59842683519244	0.0291454911486564	0.976748554502874	NA
Oarb_101575_c0_g1	0.933168503106431	0.18696008727892	1.32277835827379	0.141338937176823	0.887602190925109	NA
