baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Oarb_100544_c0_g2	70.7137599214354	-0.60065875860504	1.2366574903636	-0.485711495127429	0.627171732362072	0.920468842161361
Oarb_100547_c0_g1	0.461586115258483	0.00814412297175413	2.69081346767408	0.0030266397390949	0.997585094568041	NA
Oarb_100562_c0_g1	3.0363961542466	-0.256124093926569	1.05910583618426	-0.241830500008698	0.808911504627968	NA
Oarb_100576_c0_g1	1.16735637563951	-0.509238927498723	2.33582175256683	-0.218012751589081	0.827419176055352	NA
Oarb_100625_c1_g1	7.04512438220923	-0.831598032180716	0.875166512390538	-0.950216924901738	0.34200204050268	NA
Oarb_100625_c1_g2	0.36753348103545	1.15787730973196	3.37065294220884	0.343517214493519	0.731209392569291	NA
Oarb_100638_c1_g1	0.446815423188643	0.279934022627887	2.49113984035954	0.112371862106097	0.910528564782728	NA
Oarb_100649_c0_g1	3.77461266293258	2.24155636957904	1.38385490072042	1.61979147410044	0.105277078371852	NA
Oarb_100665_c2_g1	1.28943352022041	-0.432848033573895	1.53679805164865	-0.281655766747975	0.778207474808109	NA
Oarb_100674_c0_g1	1.83746700762943	1.81783946666712	3.62730673768689	0.501154051235917	0.616262709182563	NA
Oarb_100696_c0_g1	0.847892777166261	-2.32572867739511	2.38680696116575	-0.974410044563967	0.329852984113641	NA
Oarb_100698_c0_g1	3.66090836718505	-1.25094931149077	1.13531513728269	-1.1018520500703	0.270525997493597	NA
Oarb_100698_c1_g1	17.7491404843953	-1.15536963840903	0.586054354947529	-1.97143768091694	0.048673834601512	0.434036331998311
Oarb_100700_c1_g1	11.6308483844835	0.141455229342726	0.680291290137363	0.207933324141433	0.835281028895966	0.967553855961204
Oarb_100702_c0_g1	17.7055221229305	-1.72439267937385	0.879137337620689	-1.96145995122989	0.049825392413324	0.434508444642147
Oarb_100719_c3_g1	33.3436438857276	0.240378455314088	0.366593691302734	0.655708106868601	0.512011951744847	0.8877185118872
Oarb_100728_c0_g1	0.724040944261176	-0.518397961597314	2.16654586973227	-0.239273937764066	0.810893173171549	NA
Oarb_100735_c0_g1	2.21210698834823	-3.48973274327785	1.70687789026068	-2.04451224260974	0.0409029692095403	NA
Oarb_10073_c0_g1	15.4226869702374	1.31388724563893	0.696298794214696	1.88695895577526	0.0591658463964631	0.456271010282068
Oarb_100790_c1_g2	1.45889981676994	-1.45991363505008	1.65165524254261	-0.883909424585872	0.376745109222148	NA
Oarb_100800_c0_g1	0.75728709139135	0.207225245065089	1.98060380064065	0.104627308600569	0.916671544500546	NA
Oarb_100813_c1_g1	0.441963641605253	1.45988100905652	2.37862603361115	0.613749697694254	0.539380742109724	NA
Oarb_100828_c1_g1	3.40629532698146	0.333505009767909	1.05067010752015	0.31742124134003	0.750923991687219	NA
Oarb_100839_c1_g1	12.539514747113	-0.695488089878089	1.30069739344681	-0.534703992936487	0.592854559974521	0.90852217995899
Oarb_100844_c1_g1	6.78854377379531	0.575575671355286	0.682060611808377	0.843877598838668	0.398737807200113	NA
Oarb_100850_c0_g1	7.34493966560132	-0.339308938986012	0.769574273953582	-0.440904731966751	0.659281967810079	NA
Oarb_100857_c0_g3	0.560497729245229	0.541911491916304	2.26871212462985	0.238863047467832	0.811211780063226	NA
Oarb_100866_c2_g1	11.1026155367554	0.0521916956759242	0.653708456199973	0.0798394072784618	0.93636498187014	0.988611803123101
Oarb_100868_c0_g1	1.38972135880473	-1.37240333478319	2.30020115967994	-0.596644919079232	0.550744474404044	NA
Oarb_100872_c2_g1	1.93920952507854	-1.38086132093332	1.53563932962038	-0.8992094004747	0.368541134114047	NA
