Oarb_96363_c0_g1_i1	Oarb_96363_c0_g1
Oarb_96363_c0_g1_i2	Oarb_96363_c0_g1
Oarb_96420_c1_g1_i1	Oarb_96420_c1_g1
Oarb_96420_c0_g1_i1	Oarb_96420_c0_g1
Oarb_96426_c0_g1_i1	Oarb_96426_c0_g1
Oarb_96426_c0_g1_i2	Oarb_96426_c0_g1
Oarb_96349_c0_g1_i1	Oarb_96349_c0_g1
Oarb_96349_c0_g1_i2	Oarb_96349_c0_g1
Oarb_96415_c0_g1_i2	Oarb_96415_c0_g1
Oarb_96388_c0_g1_i1	Oarb_96388_c0_g1
Oarb_87382_c0_g1_i1	Oarb_87382_c0_g1
Oarb_36620_c0_g1_i1	Oarb_36620_c0_g1
Oarb_78164_c0_g1_i1	Oarb_78164_c0_g1
Oarb_78150_c0_g1_i1	Oarb_78150_c0_g1
Oarb_78116_c0_g1_i1	Oarb_78116_c0_g1
Oarb_78137_c0_g1_i1	Oarb_78137_c0_g1
Oarb_78137_c0_g1_i2	Oarb_78137_c0_g1
Oarb_27542_c0_g1_i1	Oarb_27542_c0_g1
Oarb_95536_c0_g1_i1	Oarb_95536_c0_g1
Oarb_95568_c0_g1_i2	Oarb_95568_c0_g1
Oarb_95571_c0_g1_i1	Oarb_95571_c0_g1
Oarb_95571_c0_g1_i2	Oarb_95571_c0_g1
Oarb_95604_c0_g1_i1	Oarb_95604_c0_g1
Oarb_95551_c1_g1_i1	Oarb_95551_c1_g1
Oarb_95544_c0_g1_i4	Oarb_95544_c0_g1
Oarb_95544_c0_g1_i2	Oarb_95544_c0_g1
Oarb_95603_c0_g1_i1	Oarb_95603_c0_g1
Oarb_95603_c0_g1_i2	Oarb_95603_c0_g1
Oarb_95564_c0_g1_i1	Oarb_95564_c0_g1
Oarb_95564_c0_g1_i2	Oarb_95564_c0_g1
Oarb_95564_c0_g1_i3	Oarb_95564_c0_g1
Oarb_95550_c1_g2_i1	Oarb_95550_c1_g2
Oarb_95550_c1_g1_i1	Oarb_95550_c1_g1
Oarb_27649_c0_g1_i1	Oarb_27649_c0_g1
Oarb_27668_c0_g1_i1	Oarb_27668_c0_g1
Oarb_69122_c0_g1_i1	Oarb_69122_c0_g1
Oarb_69190_c0_g1_i1	Oarb_69190_c0_g1
Oarb_70066_c0_g1_i3	Oarb_70066_c0_g1
Oarb_86583_c0_g1_i1	Oarb_86583_c0_g1
Oarb_86583_c0_g1_i2	Oarb_86583_c0_g1
Oarb_86567_c0_g2_i1	Oarb_86567_c0_g2
Oarb_94770_c0_g1_i1	Oarb_94770_c0_g1
Oarb_94783_c0_g1_i2	Oarb_94783_c0_g1
Oarb_94774_c0_g1_i1	Oarb_94774_c0_g1
