genes,signedlogP
Oarb_101442_c3_g3,-0.125406395429502
Oarb_101447_c0_g1,-0.850457125163009
Oarb_101476_c0_g1,-0.5702103749674
Oarb_101513_c2_g1,0.780109089984987
Oarb_101571_c1_g1,-0.750607634065507
Oarb_101575_c0_g1,-0.124985360523446
Oarb_101584_c0_g1,0.303105699020256
Oarb_101614_c2_g1,-1.49259902019438
Oarb_101615_c0_g2,-3.74502592435507
Oarb_101630_c1_g1,0.738590821971667
Oarb_101658_c3_g2,2.50160436439313
Oarb_101659_c3_g1,-0.708840384602791
Oarb_101671_c3_g1,0.330244620803432
Oarb_101684_c2_g1,0.462758312497864
Oarb_101738_c4_g2,-0.967790525425641
Oarb_101749_c0_g1,0.827944410044455
Oarb_101749_c0_g2,-2.20289727994301
Oarb_101762_c0_g1,-0.436972184390038
Oarb_101763_c0_g1,-1.43695179482452
Oarb_101765_c1_g1,0.0361282522155696
Oarb_101770_c0_g1,-1.53785741124865
Oarb_101792_c1_g1,NA
Oarb_101810_c0_g2,-2.50798466132945
Oarb_101818_c4_g2,1.81229708614719
Oarb_101833_c0_g1,0.198348951319181
Oarb_101835_c0_g1,-0.408215702135754
Oarb_101870_c0_g1,-0.933414658854994
Oarb_101883_c0_g1,-0.124245438015678
Oarb_101892_c0_g3,0.155718983993739
Oarb_101895_c0_g1,-0.686949511455248
Oarb_101917_c3_g1,0.147510344355182
Oarb_101938_c0_g2,-0.765968979611613
Oarb_101940_c0_g2,0.232871088766677
Oarb_101945_c0_g1,0.420691306175277
Oarb_101955_c0_g2,-6.24891408959665
Oarb_101962_c0_g1,-0.545443863287639
Oarb_101978_c1_g1,-0.661469364062722
Oarb_101980_c0_g1,1.1647445633336
Oarb_101989_c0_g1,-0.128073033596166
Oarb_102055_c0_g1,-0.113190883383858
Oarb_102060_c2_g1,-0.329241879027837
Oarb_102064_c1_g1,0.14851913292181
Oarb_102070_c1_g1,1.54436327481184
Oarb_102097_c0_g2,-0.0404077464792253
Oarb_102120_c1_g1,0.0187128793848773
Oarb_102123_c0_g1,1.42947005817027
Oarb_102132_c3_g1,-4.37911971126097
Oarb_102142_c0_g1,0.993679977085764
Oarb_102145_c0_g2,-0.596830848622561
Oarb_102151_c0_g1,-2.28491358814504
Oarb_102177_c0_g1,-0.945538470145506
Oarb_102177_c0_g2,-0.323591243714552
Oarb_102183_c3_g1,0.0458029907408444
Oarb_102209_c1_g1,-0.090888491692336
Oarb_102217_c0_g1,-1.07082333420764
Oarb_102234_c3_g3,-0.321928005374617
Oarb_102244_c0_g2,-0.250117455144301
Oarb_102246_c0_g1,0.290403381238452
Oarb_102252_c0_g1,-1.01822099938719
Oarb_102263_c0_g1,0.511864783409264
Oarb_102270_c0_g1,0.933631760086392
Oarb_102277_c1_g1,-0.766988107357841
Oarb_102283_c6_g1,0.654572326723618
Oarb_102289_c0_g1,-0.634951862921487
Oarb_102289_c0_g2,-1.00180936992807
Oarb_102291_c0_g1,-0.630274849192137
Oarb_102307_c0_g1,1.9739794924651
Oarb_102308_c0_g1,-0.308463703001841
Oarb_102317_c0_g2,0.122035921799697
Oarb_102331_c0_g1,-0.754618307804443
