log2FoldChange,genes
0.394861794227078,Oarb_101196_c0_g1
-2.21654354911785,Oarb_101202_c0_g1
-2.50844940294854,Oarb_101222_c0_g1
-0.801171651247838,Oarb_101223_c0_g1
0.331103630881203,Oarb_101227_c2_g1
1.32005795371292,Oarb_101227_c3_g1
-2.42843090703711,Oarb_101228_c1_g1
-0.0105587259928535,Oarb_101228_c1_g2
0.117234331957929,Oarb_101248_c1_g1
-0.157395169280282,Oarb_101268_c0_g1
0.0545840869406427,Oarb_101279_c4_g1
0.875842060013628,Oarb_101296_c0_g1
0.911770925036967,Oarb_101298_c0_g1
-0.416985352300828,Oarb_101302_c0_g1
2.27943818916127,Oarb_101306_c0_g1
0.00280641631877395,Oarb_101307_c0_g2
0.32967803035149,Oarb_101334_c2_g1
-1.75196228380688,Oarb_101373_c0_g1
0.534406794266635,Oarb_101388_c0_g1
0.0582851890062849,Oarb_101388_c0_g2
-0.618856847961883,Oarb_101424_c0_g1
-0.19355997042185,Oarb_101426_c0_g1
1.51754502790352,Oarb_101433_c2_g2
0.514776518074672,Oarb_101440_c0_g2
1.21623737393144,Oarb_101442_c3_g1
-1.18987518545557,Oarb_101442_c3_g3
0.195598980756175,Oarb_101447_c0_g1
-0.576163235460237,Oarb_101476_c0_g1
1.17537482087632,Oarb_101513_c2_g1
0.0465869351768762,Oarb_101571_c1_g1
0.18696008727892,Oarb_101575_c0_g1
1.1312455276859,Oarb_101584_c0_g1
-0.372748552660789,Oarb_101614_c2_g1
-0.534960951222306,Oarb_101615_c0_g2
0.562998026232819,Oarb_101630_c1_g1
-0.20795726152023,Oarb_101658_c3_g2
-1.28040742806606,Oarb_101659_c3_g1
-0.783006688992122,Oarb_101671_c3_g1
1.94170494853264,Oarb_101684_c2_g1
-0.806969293223523,Oarb_101738_c4_g2
0.471817613311132,Oarb_101749_c0_g1
-0.582470055528187,Oarb_101749_c0_g2
-0.477522879752332,Oarb_101762_c0_g1
-0.710368723578187,Oarb_101763_c0_g1
-1.44343111572775,Oarb_101765_c1_g1
-0.923275669160239,Oarb_101770_c0_g1
2.27665345116571,Oarb_101792_c1_g1
-0.613693417221808,Oarb_101810_c0_g2
1.16501869714563,Oarb_101818_c4_g2
-0.0828687390329872,Oarb_101833_c0_g1
-0.379561349264724,Oarb_101835_c0_g1
-0.0359679712018487,Oarb_101870_c0_g1
-0.118117757666194,Oarb_101883_c0_g1
-0.858197921278559,Oarb_101892_c0_g3
0.0547056189588197,Oarb_101895_c0_g1
-0.475880512366345,Oarb_101917_c3_g1
-0.266288614604093,Oarb_101938_c0_g2
0.41611399128978,Oarb_101940_c0_g2
-0.59088343058179,Oarb_101945_c0_g1
-1.08055577367351,Oarb_101955_c0_g2
0.427432304240135,Oarb_101962_c0_g1
0.0299028569289038,Oarb_101978_c1_g1
-0.0292990993531482,Oarb_101980_c0_g1
-0.0917847745599071,Oarb_101989_c0_g1
-1.51611757948855,Oarb_102055_c0_g1
-0.531212899652284,Oarb_102060_c2_g1
0.254904902298861,Oarb_102064_c1_g1
0.120766347077158,Oarb_102070_c1_g1
-1.1559995990729,Oarb_102097_c0_g2
0.375600022764247,Oarb_102120_c1_g1
0.396053713773309,Oarb_102123_c0_g1
-2.48037762513339,Oarb_102132_c3_g1
0.776639891775184,Oarb_102142_c0_g1
-0.454083153092392,Oarb_102145_c0_g2
0.0894321737564329,Oarb_102151_c0_g1
-1.6041739803426,Oarb_102177_c0_g1
0.494369542040566,Oarb_102177_c0_g2
-1.25757771212446,Oarb_102183_c3_g1
-1.17189144888098,Oarb_102209_c1_g1
1.23301750477882,Oarb_102217_c0_g1
-0.423120758292986,Oarb_102234_c3_g3
-0.787201939489834,Oarb_102244_c0_g2
-0.871570096546714,Oarb_102246_c0_g1
-1.63987389982008,Oarb_102252_c0_g1
0.204908074229324,Oarb_102263_c0_g1
-0.822442667893462,Oarb_102270_c0_g1
-0.277759502065156,Oarb_102277_c1_g1
0.326569687395687,Oarb_102283_c6_g1
0.414072391386881,Oarb_102289_c0_g1
-1.52129942756596,Oarb_102289_c0_g2
-2.17968694835689,Oarb_102291_c0_g1
